Metric,Mean,Std Dev,Min,Max
WER (Word Error Rate),0.06331851851851852,0.20568459430930244,0.0,1.0
RTF (Real-Time Factor),1.091874074074074,0.4650758793280549,0.6672,2.4265
Latency (seconds),22.191481481481485,5.694889904861202,15.045,43.729
Mapping Accuracy,0.6891962962962964,0.24997408247422753,0.3333,1.0
Vocabulary Coverage,0.6830222222222223,0.2560277093377159,0.3333,1.0
Unknown Word Ratio,0.3108037037037037,0.24997408247422753,0.0,0.6667
Gloss Accuracy,0.6870333333333334,0.3306139289261722,0.2,1.0
